nm,A_7_5g,A_15g,A_18g,A_22_5g
372.5,0.125,0.321,0.23,0.202
373.0,0.118,0.308,0.217,0.205
373.5,0.113,0.303,0.215,0.216
374.0,0.114,0.308,0.219,0.224
374.5,0.121,0.316,0.221,0.226
375.0,0.13,0.32,0.219,0.223
375.5,0.137,0.319,0.215,0.217
376.0,0.139,0.317,0.211,0.212
376.5,0.134,0.319,0.21,0.209
377.0,0.127,0.322,0.21,0.207
377.5,0.12,0.317,0.213,0.208
378.0,0.115,0.3,0.215,0.211
378.5,0.112,0.28,0.212,0.214
379.0,0.106,0.271,0.203,0.213
379.5,0.1,0.277,0.191,0.204
380.0,0.096,0.294,0.183,0.192
380.5,0.099,0.308,0.183,0.183
381.0,0.109,0.311,0.191,0.183
381.5,0.118,0.303,0.199,0.189
382.0,0.123,0.293,0.202,0.195
382.5,0.121,0.285,0.199,0.194
383.0,0.113,0.279,0.192,0.185
383.5,0.103,0.273,0.185,0.174
384.0,0.095,0.261,0.179,0.167
384.5,0.096,0.246,0.175,0.168
385.0,0.106,0.235,0.178,0.174
385.5,0.121,0.232,0.186,0.18
386.0,0.129,0.236,0.189,0.181
386.5,0.125,0.239,0.184,0.175
387.0,0.112,0.239,0.173,0.167
387.5,0.1,0.236,0.164,0.164
388.0,0.096,0.234,0.164,0.167
388.5,0.098,0.236,0.169,0.171
389.0,0.096,0.24,0.17,0.168
389.5,0.09,0.243,0.163,0.158
390.0,0.085,0.245,0.154,0.149
390.5,0.084,0.247,0.15,0.147
391.0,0.087,0.248,0.154,0.152
391.5,0.09,0.246,0.162,0.158
392.0,0.088,0.24,0.163,0.162
392.5,0.08,0.234,0.156,0.161
393.0,0.073,0.229,0.144,0.155
393.5,0.072,0.225,0.137,0.149
394.0,0.079,0.221,0.139,0.149
394.5,0.087,0.215,0.146,0.153
395.0,0.091,0.212,0.149,0.156
395.5,0.091,0.213,0.146,0.155
396.0,0.09,0.215,0.14,0.152
396.5,0.09,0.214,0.136,0.148
397.0,0.088,0.212,0.135,0.145
397.5,0.082,0.211,0.135,0.141
398.0,0.075,0.21,0.138,0.14
398.5,0.073,0.206,0.141,0.139
399.0,0.074,0.199,0.142,0.138
399.5,0.077,0.191,0.141,0.135
400.0,0.08,0.186,0.138,0.132
400.5,0.082,0.184,0.137,0.131
401.0,0.084,0.184,0.137,0.131
401.5,0.084,0.186,0.137,0.131
402.0,0.081,0.189,0.137,0.132
402.5,0.078,0.192,0.136,0.133
403.0,0.077,0.193,0.135,0.135
403.5,0.077,0.192,0.132,0.136
404.0,0.078,0.191,0.128,0.133
404.5,0.077,0.192,0.122,0.129
405.0,0.074,0.195,0.117,0.126
405.5,0.072,0.195,0.117,0.126
406.0,0.07,0.19,0.12,0.127
