nm,AGoMG50,AGoMG20,AGoMG,AGoMG05
336.5,0.346,0.355,0.417,0.165
337.0,0.341,0.351,0.412,0.164
337.5,0.336,0.347,0.407,0.162
338.0,0.332,0.343,0.402,0.159
338.5,0.328,0.338,0.397,0.156
339.0,0.324,0.333,0.392,0.153
339.5,0.321,0.326,0.388,0.154
340.0,0.317,0.319,0.384,0.156
340.5,0.313,0.313,0.377,0.16
341.0,0.307,0.308,0.367,0.16
341.5,0.301,0.304,0.354,0.157
342.0,0.295,0.3,0.343,0.151
342.5,0.289,0.298,0.337,0.144
343.0,0.286,0.298,0.334,0.136
343.5,0.283,0.296,0.334,0.128
344.0,0.279,0.293,0.333,0.123
344.5,0.272,0.288,0.329,0.121
345.0,0.261,0.282,0.321,0.119
345.5,0.25,0.277,0.312,0.117
346.0,0.246,0.272,0.305,0.113
346.5,0.249,0.265,0.302,0.112
347.0,0.255,0.258,0.299,0.112
347.5,0.256,0.25,0.294,0.112
348.0,0.251,0.243,0.289,0.111
348.5,0.241,0.239,0.284,0.112
349.0,0.23,0.238,0.28,0.115
349.5,0.221,0.239,0.274,0.116
350.0,0.216,0.237,0.265,0.115
350.5,0.217,0.232,0.256,0.109
351.0,0.218,0.225,0.249,0.102
351.5,0.217,0.219,0.246,0.095
352.0,0.211,0.216,0.243,0.09
352.5,0.203,0.215,0.239,0.089
353.0,0.195,0.215,0.235,0.089
353.5,0.19,0.211,0.23,0.091
354.0,0.187,0.206,0.227,0.094
354.5,0.186,0.201,0.222,0.099
355.0,0.186,0.197,0.215,0.105
355.5,0.185,0.192,0.208,0.108
356.0,0.182,0.183,0.203,0.106
356.5,0.179,0.174,0.199,0.102
357.0,0.174,0.168,0.197,0.097
357.5,0.169,0.168,0.196,0.093
358.0,0.163,0.172,0.194,0.088
358.5,0.159,0.175,0.191,0.082
359.0,0.159,0.176,0.185,0.078
359.5,0.161,0.174,0.179,0.075
360.0,0.161,0.171,0.171,0.074
360.5,0.157,0.167,0.164,0.073
361.0,0.151,0.163,0.16,0.073
361.5,0.148,0.159,0.161,0.075
362.0,0.147,0.155,0.165,0.077
362.5,0.147,0.154,0.167,0.078
363.0,0.146,0.154,0.166,0.075
363.5,0.144,0.151,0.16,0.071
364.0,0.141,0.145,0.154,0.069
364.5,0.137,0.14,0.149,0.072
365.0,0.133,0.138,0.147,0.076
365.5,0.131,0.14,0.147,0.078
366.0,0.129,0.141,0.145,0.074
366.5,0.126,0.14,0.142,0.069
367.0,0.123,0.139,0.137,0.068
367.5,0.123,0.139,0.133,0.07
368.0,0.125,0.14,0.128,0.074
368.5,0.128,0.139,0.122,0.074
369.0,0.126,0.138,0.115,0.068
369.5,0.118,0.139,0.11,0.061
370.0,0.107,0.14,0.109,0.057
370.5,0.097,0.135,0.111,0.059
371.0,0.094,0.123,0.113,0.066
371.5,0.1,0.108,0.113,0.076
372.0,0.11,0.096,0.108,0.084
372.5,0.116,0.09,0.097,0.087
373.0,0.111,0.089,0.083,0.083
373.5,0.101,0.09,0.074,0.077
374.0,0.098,0.091,0.077,0.075
374.5,0.105,0.095,0.089,0.077
375.0,0.111,0.11,0.101,0.075
375.5,0.109,0.133,0.106,0.064
376.0,0.103,0.152,0.104,0.05
376.5,0.1,0.157,0.102,0.042
377.0,0.101,0.146,0.103,0.043
377.5,0.097,0.129,0.105,0.051
378.0,0.088,0.116,0.104,0.057
378.5,0.08,0.111,0.099,0.058
379.0,0.075,0.11,0.094,0.054
379.5,0.075,0.106,0.09,0.048
380.0,0.078,0.101,0.087,0.042
380.5,0.086,0.1,0.083,0.037
381.0,0.096,0.103,0.082,0.036
381.5,0.105,0.105,0.082,0.04
382.0,0.109,0.1,0.083,0.046
382.5,0.106,0.094,0.082,0.051
383.0,0.098,0.092,0.082,0.053
383.5,0.088,0.097,0.083,0.05
384.0,0.079,0.102,0.081,0.048
384.5,0.075,0.1,0.074,0.049
385.0,0.073,0.093,0.066,0.051
385.5,0.075,0.088,0.064,0.055
386.0,0.082,0.09,0.069,0.06
386.5,0.089,0.098,0.075,0.061
387.0,0.089,0.103,0.079,0.056
387.5,0.082,0.099,0.079,0.044
388.0,0.076,0.09,0.077,0.03
388.5,0.075,0.082,0.079,0.02
389.0,0.08,0.079,0.083,0.019
389.5,0.084,0.079,0.085,0.024
390.0,0.082,0.079,0.08,0.031
390.5,0.077,0.082,0.072,0.037
391.0,0.073,0.088,0.067,0.04
391.5,0.072,0.095,0.068,0.038
392.0,0.073,0.097,0.07,0.033
392.5,0.074,0.093,0.072,0.03
393.0,0.07,0.084,0.07,0.031
393.5,0.063,0.077,0.067,0.037
394.0,0.056,0.075,0.065,0.043
394.5,0.054,0.078,0.066,0.046
395.0,0.058,0.083,0.067,0.045
395.5,0.066,0.085,0.066,0.041
396.0,0.074,0.082,0.06,0.039
396.5,0.076,0.079,0.056,0.04
397.0,0.071,0.081,0.059,0.041
397.5,0.06,0.084,0.067,0.04
