,     Angle,       PSD
971,43.8713,822
972,43.9113,839
973,43.9513,858
974,43.9914,810
975,44.0314,881
976,44.0714,784
977,44.1115,906
978,44.1515,831
979,44.1915,835
980,44.2316,840
981,44.2716,825
982,44.3116,826
983,44.3517,794
984,44.3917,832
985,44.4317,884
986,44.4717,919
987,44.5118,828
988,44.5518,875
989,44.5918,805
990,44.6319,777
991,44.6719,809
992,44.7119,855
993,44.752,826
994,44.792,804
995,44.832,822
996,44.8721,820
997,44.9121,843
998,44.9521,879
999,44.9922,846
1000,45.0322,813
1001,45.0722,766
1002,45.1123,792
1003,45.1523,799
1004,45.1923,781
1005,45.2324,809
1006,45.2724,749
1007,45.3124,842
1008,45.3525,821
1009,45.3925,833
1010,45.4325,826
1011,45.4726,813
1012,45.5126,840
1013,45.5526,798
1014,45.5927,789
1015,45.6327,784
1016,45.6727,784
1017,45.7127,765
1018,45.7528,767
1019,45.7928,724
1020,45.8328,774
1021,45.8729,785
1022,45.9129,788
1023,45.9529,777
1024,45.993,754
1025,46.033,759
1026,46.073,767
1027,46.1131,756
1028,46.1531,790
1029,46.1931,794
1030,46.2332,744
1031,46.2732,713
1032,46.3132,736
1033,46.3533,751
1034,46.3933,779
1035,46.4333,740
1036,46.4734,842
1037,46.5134,787
1038,46.5534,777
1039,46.5935,791
1040,46.6335,710
1041,46.6735,696
1042,46.7136,702
1043,46.7536,805
1044,46.7936,750
1045,46.8336,750
1046,46.8737,769
1047,46.9137,733
1048,46.9537,734
1049,46.9938,763
1050,47.0338,673
1051,47.0738,723
1052,47.1139,719
1053,47.1539,698
1054,47.1939,719
1055,47.234,663
1056,47.274,723
1057,47.314,643
1058,47.3541,708
1059,47.3941,713
1060,47.4341,721
1061,47.4742,716
1062,47.5142,704
1063,47.5542,702
1064,47.5943,683
1065,47.6343,698
1066,47.6743,713
1067,47.7144,718
1068,47.7544,721
1069,47.7944,729
1070,47.8345,698
1071,47.8745,678
1072,47.9145,658
1073,47.9546,654
1074,47.9946,691
1075,48.0346,723
1076,48.0746,696
1077,48.1147,682
1078,48.1547,678
1079,48.1947,685
1080,48.2348,693
1081,48.2748,633
1082,48.3148,696
1083,48.3549,662
1084,48.3949,699
1085,48.4349,626
1086,48.475,724
1087,48.515,650
1088,48.555,675
1089,48.5951,644
1090,48.6351,706
1091,48.6751,629
1092,48.7152,644
1093,48.7552,643
1094,48.7952,637
1095,48.8353,649
1096,48.8753,619
1097,48.9153,642
1098,48.9554,619
