Wavelength,Illy,Mucilago,Cafeina,Ox,Mi,Ch,Go,Verde
348,20.77795029,19.0229969,95.17928314,31.83686829,39.4199791,40.67404938,42.90804291,40.60524368
349,20.71057129,19.03115463,95.39266205,31.80185509,39.36682129,40.52187347,43.33860397,40.55064011
350,20.29001045,18.33454132,96.88716125,29.11855888,35.42035294,36.6669693,38.18779373,36.70830917
351,20.21741486,18.29272461,96.51654053,29.08647728,35.39669418,36.64369583,38.26519394,36.59479141
352,20.27193642,18.41834259,96.80558014,29.07950211,35.47108841,36.67472839,38.35913467,36.69193268
353,20.19595146,18.21022606,95.91007996,28.89505005,35.26786804,36.3511734,38.1593895,36.59106827
354,20.18475151,18.16116142,96.02583313,29.05858231,35.23130035,36.56469727,38.37331009,36.47225952
355,20.03189659,18.12912178,95.84215546,29.06992149,35.26493454,36.24337769,38.04524994,36.41940689
356,20.08262062,18.0782032,95.37444305,28.72700119,35.12604523,36.24949265,37.95827484,36.44340897
357,20.09485245,18.1084404,95.67272949,28.92491913,35.1888504,36.45035172,38.13132095,36.48623657
358,20.03905869,18.10428047,95.03769684,28.89083672,34.93296051,36.17219162,37.98490906,36.2875824
359,20.08329964,18.01124382,94.98235321,28.85947227,34.98598099,36.11875916,38.05552292,36.22052765
360,20.0134716,17.98900604,94.76646423,28.89716911,35.05686951,36.10406876,38.04970169,36.25597763
361,20.00107384,17.92847633,94.53877258,28.77618027,34.91857147,36.06270981,38.01329422,36.26385117
362,20.00338936,17.91934204,94.36295319,28.7217865,34.95583344,35.87018967,37.99715805,36.09042358
363,20.01312447,17.84429932,94.05492401,28.5643959,34.68130875,35.8957634,37.76615143,36.01237869
364,20.06200027,17.87308693,93.96589661,28.76577377,34.94141006,35.76085663,37.92092514,36.15434647
365,20.00149918,17.81929016,93.74682617,28.5854969,34.92227173,35.75362778,37.89441681,36.06238556
366,19.95036316,17.87739754,93.5488739,28.73305893,34.83969116,35.64789963,37.86065292,36.05173111
367,19.98344994,17.75556374,93.34056091,28.61645126,34.74112701,35.62353897,37.81428909,35.9741745
368,20.0199337,17.74108124,93.23927307,28.62059784,34.7462883,35.57703018,37.84640121,36.03411484
369,19.9547596,17.74926949,93.40048218,28.57873154,34.72076797,35.5409584,37.80780792,36.07074738
370,19.92481995,17.70424271,92.93675995,28.52779579,34.70884705,35.41084671,37.81169891,35.94307327
