nm,A,A05,A20,A50
359.5,0.247,0.091,0.274,0.345
360.0,0.242,0.091,0.264,0.339
360.5,0.238,0.086,0.259,0.336
361.0,0.234,0.079,0.255,0.331
361.5,0.228,0.074,0.252,0.325
362.0,0.22,0.073,0.246,0.318
362.5,0.212,0.076,0.239,0.312
363.0,0.206,0.079,0.231,0.307
363.5,0.203,0.079,0.226,0.302
364.0,0.204,0.077,0.225,0.298
364.5,0.206,0.074,0.226,0.294
365.0,0.205,0.073,0.226,0.289
365.5,0.199,0.075,0.224,0.278
366.0,0.189,0.076,0.218,0.266
366.5,0.181,0.073,0.212,0.256
367.0,0.176,0.064,0.205,0.253
367.5,0.172,0.056,0.2,0.255
368.0,0.166,0.052,0.199,0.256
368.5,0.159,0.053,0.202,0.253
369.0,0.153,0.056,0.205,0.245
369.5,0.15,0.06,0.204,0.238
370.0,0.151,0.066,0.201,0.234
370.5,0.155,0.073,0.202,0.232
371.0,0.159,0.078,0.21,0.23
371.5,0.162,0.075,0.223,0.227
372.0,0.164,0.065,0.228,0.223
372.5,0.163,0.055,0.218,0.217
373.0,0.157,0.054,0.199,0.212
373.5,0.142,0.066,0.183,0.212
374.0,0.127,0.082,0.175,0.214
374.5,0.119,0.089,0.17,0.216
375.0,0.122,0.083,0.163,0.216
375.5,0.131,0.071,0.154,0.213
376.0,0.137,0.065,0.146,0.209
376.5,0.133,0.065,0.146,0.206
377.0,0.124,0.07,0.156,0.2
377.5,0.116,0.073,0.172,0.189
378.0,0.115,0.071,0.184,0.175
378.5,0.116,0.064,0.189,0.166
379.0,0.114,0.053,0.185,0.166
379.5,0.112,0.045,0.174,0.169
380.0,0.111,0.041,0.16,0.165
380.5,0.113,0.039,0.148,0.159
381.0,0.113,0.035,0.138,0.158
381.5,0.113,0.033,0.129,0.166
382.0,0.114,0.037,0.119,0.176
382.5,0.12,0.044,0.114,0.178
383.0,0.13,0.048,0.117,0.172
383.5,0.135,0.046,0.122,0.164
384.0,0.129,0.043,0.125,0.16
384.5,0.116,0.043,0.126,0.159
385.0,0.105,0.047,0.129,0.16
385.5,0.101,0.051,0.136,0.159
386.0,0.102,0.049,0.145,0.157
386.5,0.1,0.043,0.145,0.155
387.0,0.096,0.035,0.135,0.151
387.5,0.093,0.03,0.115,0.15
388.0,0.09,0.031,0.098,0.152
388.5,0.086,0.035,0.091,0.157
389.0,0.079,0.039,0.093,0.16
389.5,0.073,0.041,0.098,0.16
390.0,0.075,0.043,0.101,0.154
390.5,0.081,0.048,0.102,0.146
391.0,0.088,0.05,0.106,0.136
391.5,0.092,0.047,0.112,0.128
392.0,0.097,0.036,0.115,0.125
392.5,0.102,0.023,0.112,0.125
393.0,0.102,0.017,0.105,0.127
393.5,0.096,0.02,0.101,0.128
394.0,0.09,0.031,0.1,0.127
394.5,0.087,0.043,0.1,0.128
395.0,0.088,0.05,0.099,0.129
395.5,0.091,0.051,0.099,0.129
396.0,0.095,0.047,0.103,0.125
396.5,0.098,0.042,0.107,0.119
397.0,0.097,0.037,0.109,0.113
397.5,0.093,0.032,0.106,0.109
398.0,0.088,0.027,0.1,0.109
398.5,0.084,0.022,0.091,0.11
399.0,0.08,0.018,0.084,0.11
399.5,0.075,0.017,0.077,0.107
400.0,0.07,0.016,0.073,0.104
400.5,0.067,0.017,0.07,0.106
401.0,0.068,0.018,0.071,0.11
401.5,0.071,0.022,0.075,0.114
402.0,0.074,0.025,0.081,0.111
402.5,0.075,0.027,0.085,0.105
403.0,0.072,0.027,0.083,0.101
403.5,0.068,0.028,0.08,0.101
404.0,0.066,0.029,0.078,0.105
404.5,0.068,0.029,0.079,0.11
405.0,0.072,0.029,0.08,0.112
405.5,0.078,0.029,0.079,0.109
406.0,0.081,0.029,0.076,0.103
406.5,0.0,0.0,0.0,0.0
407.0,0.0,0.0,0.0,0.0
407.5,0.0,0.0,0.0,0.0
408.0,0.0,0.0,0.0,0.0
408.5,0.0,0.0,0.0,0.0
409.0,0.0,0.0,0.0,0.0
409.5,0.0,0.0,0.0,0.0
410.0,0.0,0.0,0.0,0.0
