nm,A,A05,A20,A50
302.5,0.487,0.239,0.457,0.577
303.0,0.487,0.238,0.457,0.575
303.5,0.487,0.238,0.458,0.574
304.0,0.488,0.237,0.458,0.574
304.5,0.488,0.237,0.457,0.574
305.0,0.488,0.237,0.457,0.574
305.5,0.487,0.237,0.455,0.573
306.0,0.486,0.237,0.454,0.572
306.5,0.485,0.238,0.455,0.572
307.0,0.485,0.238,0.458,0.572
307.5,0.484,0.238,0.458,0.572
308.0,0.484,0.238,0.457,0.573
308.5,0.484,0.237,0.456,0.573
309.0,0.483,0.237,0.456,0.573
309.5,0.483,0.238,0.457,0.573
310.0,0.483,0.238,0.457,0.573
310.5,0.482,0.238,0.458,0.574
311.0,0.481,0.239,0.458,0.575
311.5,0.48,0.239,0.459,0.576
312.0,0.48,0.24,0.46,0.578
312.5,0.48,0.239,0.463,0.579
313.0,0.481,0.239,0.464,0.58
313.5,0.482,0.239,0.463,0.582
314.0,0.482,0.24,0.464,0.583
314.5,0.481,0.242,0.466,0.585
315.0,0.481,0.243,0.467,0.586
315.5,0.48,0.243,0.469,0.587
316.0,0.481,0.242,0.47,0.587
316.5,0.482,0.24,0.469,0.588
317.0,0.484,0.24,0.47,0.589
317.5,0.484,0.242,0.472,0.589
318.0,0.485,0.243,0.471,0.59
318.5,0.485,0.245,0.47,0.591
319.0,0.486,0.246,0.472,0.593
319.5,0.487,0.246,0.472,0.594
320.0,0.488,0.246,0.47,0.594
320.5,0.488,0.246,0.47,0.593
321.0,0.488,0.246,0.473,0.592
321.5,0.49,0.245,0.474,0.592
322.0,0.493,0.245,0.471,0.592
322.5,0.495,0.246,0.469,0.592
323.0,0.496,0.246,0.468,0.591
323.5,0.496,0.246,0.468,0.591
324.0,0.496,0.245,0.469,0.59
324.5,0.496,0.244,0.467,0.588
325.0,0.498,0.243,0.463,0.586
325.5,0.499,0.243,0.462,0.584
326.0,0.499,0.244,0.464,0.582
326.5,0.499,0.244,0.463,0.58
327.0,0.5,0.243,0.458,0.577
327.5,0.5,0.241,0.455,0.574
328.0,0.5,0.238,0.453,0.571
328.5,0.501,0.236,0.451,0.568
329.0,0.502,0.235,0.45,0.565
329.5,0.503,0.235,0.448,0.561
330.0,0.504,0.235,0.447,0.557
330.5,0.505,0.234,0.443,0.553
331.0,0.506,0.231,0.437,0.549
331.5,0.507,0.228,0.433,0.544
332.0,0.508,0.224,0.429,0.54
332.5,0.508,0.221,0.427,0.536
333.0,0.508,0.219,0.424,0.531
333.5,0.509,0.218,0.418,0.525
334.0,0.51,0.217,0.41,0.517
334.5,0.511,0.216,0.406,0.51
335.0,0.512,0.214,0.405,0.504
335.5,0.512,0.211,0.402,0.499
336.0,0.512,0.208,0.397,0.495
336.5,0.512,0.205,0.389,0.491
337.0,0.512,0.203,0.384,0.487
337.5,0.511,0.201,0.383,0.481
338.0,0.511,0.2,0.377,0.474
338.5,0.51,0.198,0.371,0.465
339.0,0.51,0.195,0.367,0.454
339.5,0.509,0.19,0.358,0.444
340.0,0.507,0.184,0.351,0.434
340.5,0.506,0.177,0.347,0.427
341.0,0.51,0.17,0.34,0.424
341.5,0.516,0.163,0.344,0.424
342.0,0.521,0.157,0.345,0.421
342.5,0.52,0.155,0.326,0.412
343.0,0.517,0.158,0.309,0.398
343.5,0.513,0.166,0.313,0.383
344.0,0.51,0.172,0.317,0.372
344.5,0.511,0.171,0.304,0.367
345.0,0.513,0.167,0.296,0.367
345.5,0.514,0.162,0.309,0.365
346.0,0.51,0.158,0.307,0.36
346.5,0.503,0.152,0.281,0.35
347.0,0.499,0.142,0.274,0.34
347.5,0.502,0.133,0.275,0.332
348.0,0.509,0.128,0.257,0.325
348.5,0.517,0.128,0.249,0.318
349.0,0.524,0.13,0.264,0.311
349.5,0.527,0.132,0.27,0.306
350.0,0.528,0.131,0.26,0.301
350.5,0.527,0.131,0.243,0.296
351.0,0.525,0.131,0.224,0.29
351.5,0.524,0.131,0.213,0.282
352.0,0.523,0.128,0.218,0.273
352.5,0.522,0.124,0.222,0.266
353.0,0.521,0.121,0.208,0.259
353.5,0.521,0.12,0.195,0.253
354.0,0.52,0.12,0.192,0.248
354.5,0.515,0.118,0.191,0.244
355.0,0.509,0.115,0.201,0.24
355.5,0.503,0.112,0.215,0.235
356.0,0.502,0.111,0.211,0.23
356.5,0.506,0.109,0.193,0.226
357.0,0.51,0.107,0.179,0.223
357.5,0.512,0.104,0.176,0.219
358.0,0.511,0.102,0.175,0.213
358.5,0.51,0.099,0.176,0.205
359.0,0.512,0.095,0.176,0.197
359.5,0.514,0.092,0.166,0.191
360.0,0.514,0.088,0.164,0.189
360.5,0.511,0.085,0.176,0.19
361.0,0.507,0.083,0.178,0.192
361.5,0.502,0.085,0.172,0.192
362.0,0.498,0.091,0.173,0.19
362.5,0.496,0.098,0.173,0.185
363.0,0.495,0.103,0.162,0.179
363.5,0.494,0.102,0.152,0.172
364.0,0.495,0.094,0.151,0.165
364.5,0.498,0.083,0.146,0.161
365.0,0.504,0.077,0.134,0.16
365.5,0.512,0.077,0.135,0.162
366.0,0.515,0.081,0.145,0.162
