nm,A,A05,A20,A50
328.0,0.498,0.188,0.418,0.407
328.5,0.494,0.187,0.416,0.404
329.0,0.49,0.187,0.413,0.401
329.5,0.485,0.187,0.41,0.399
330.0,0.481,0.185,0.406,0.396
330.5,0.477,0.183,0.402,0.393
331.0,0.473,0.181,0.399,0.389
331.5,0.469,0.18,0.396,0.383
332.0,0.465,0.18,0.393,0.379
332.5,0.461,0.179,0.389,0.375
333.0,0.456,0.178,0.386,0.372
333.5,0.451,0.175,0.383,0.369
334.0,0.445,0.172,0.379,0.366
334.5,0.441,0.169,0.374,0.362
335.0,0.435,0.166,0.369,0.359
335.5,0.43,0.165,0.364,0.355
336.0,0.423,0.165,0.36,0.351
336.5,0.417,0.165,0.355,0.346
337.0,0.412,0.164,0.351,0.341
337.5,0.407,0.162,0.347,0.336
338.0,0.402,0.159,0.343,0.332
338.5,0.397,0.156,0.338,0.328
339.0,0.392,0.153,0.333,0.324
339.5,0.388,0.154,0.326,0.321
340.0,0.384,0.156,0.319,0.317
340.5,0.377,0.16,0.313,0.313
341.0,0.367,0.16,0.308,0.307
341.5,0.354,0.157,0.304,0.301
342.0,0.343,0.151,0.3,0.295
342.5,0.337,0.144,0.298,0.289
343.0,0.334,0.136,0.298,0.286
343.5,0.334,0.128,0.296,0.283
344.0,0.333,0.123,0.293,0.279
344.5,0.329,0.121,0.288,0.272
345.0,0.321,0.119,0.282,0.261
345.5,0.312,0.117,0.277,0.25
346.0,0.305,0.113,0.272,0.246
346.5,0.302,0.112,0.265,0.249
347.0,0.299,0.112,0.258,0.255
347.5,0.294,0.112,0.25,0.256
348.0,0.289,0.111,0.243,0.251
348.5,0.284,0.112,0.239,0.241
349.0,0.28,0.115,0.238,0.23
349.5,0.274,0.116,0.239,0.221
350.0,0.265,0.115,0.237,0.216
350.5,0.256,0.109,0.232,0.217
351.0,0.249,0.102,0.225,0.218
351.5,0.246,0.095,0.219,0.217
352.0,0.243,0.09,0.216,0.211
352.5,0.239,0.089,0.215,0.203
353.0,0.235,0.089,0.215,0.195
353.5,0.23,0.091,0.211,0.19
354.0,0.227,0.094,0.206,0.187
354.5,0.222,0.099,0.201,0.186
355.0,0.215,0.105,0.197,0.186
355.5,0.208,0.108,0.192,0.185
356.0,0.203,0.106,0.183,0.182
356.5,0.199,0.102,0.174,0.179
357.0,0.197,0.097,0.168,0.174
357.5,0.196,0.093,0.168,0.169
358.0,0.194,0.088,0.172,0.163
358.5,0.191,0.082,0.175,0.159
359.0,0.185,0.078,0.176,0.159
359.5,0.179,0.075,0.174,0.161
360.0,0.171,0.074,0.171,0.161
360.5,0.164,0.073,0.167,0.157
361.0,0.16,0.073,0.163,0.151
361.5,0.161,0.075,0.159,0.148
362.0,0.165,0.077,0.155,0.147
362.5,0.167,0.078,0.154,0.147
363.0,0.166,0.075,0.154,0.146
363.5,0.16,0.071,0.151,0.144
364.0,0.154,0.069,0.145,0.141
364.5,0.149,0.072,0.14,0.137
365.0,0.147,0.076,0.138,0.133
365.5,0.147,0.078,0.14,0.131
366.0,0.145,0.074,0.141,0.129
366.5,0.142,0.069,0.14,0.126
367.0,0.137,0.068,0.139,0.123
367.5,0.133,0.07,0.139,0.123
368.0,0.128,0.074,0.14,0.125
368.5,0.122,0.074,0.139,0.128
369.0,0.115,0.068,0.138,0.126
369.5,0.11,0.061,0.139,0.118
370.0,0.109,0.057,0.14,0.107
370.5,0.111,0.059,0.135,0.097
371.0,0.113,0.066,0.123,0.094
371.5,0.113,0.076,0.108,0.1
