nm,AMiMG,AMiMG20,AMiMG05,AMiMG50
285.5,0.578,0.531,0.277,0.671
286.0,0.574,0.528,0.275,0.667
286.5,0.569,0.525,0.274,0.664
287.0,0.563,0.524,0.273,0.66
287.5,0.558,0.52,0.272,0.657
288.0,0.552,0.516,0.271,0.653
288.5,0.547,0.514,0.269,0.649
289.0,0.542,0.512,0.268,0.645
289.5,0.537,0.508,0.266,0.641
290.0,0.533,0.504,0.265,0.636
290.5,0.528,0.501,0.263,0.633
291.0,0.525,0.5,0.261,0.629
291.5,0.521,0.498,0.259,0.625
292.0,0.518,0.494,0.257,0.621
292.5,0.514,0.491,0.254,0.617
293.0,0.511,0.489,0.253,0.614
293.5,0.507,0.485,0.252,0.612
294.0,0.504,0.482,0.251,0.61
294.5,0.502,0.482,0.25,0.608
295.0,0.5,0.48,0.249,0.605
295.5,0.499,0.479,0.249,0.603
296.0,0.497,0.476,0.248,0.6
296.5,0.495,0.472,0.246,0.597
297.0,0.494,0.468,0.245,0.595
297.5,0.493,0.468,0.244,0.593
298.0,0.492,0.468,0.244,0.591
298.5,0.492,0.466,0.243,0.589
299.0,0.491,0.465,0.242,0.587
299.5,0.491,0.467,0.241,0.585
300.0,0.49,0.466,0.241,0.584
300.5,0.489,0.461,0.24,0.582
301.0,0.488,0.459,0.24,0.581
301.5,0.488,0.459,0.239,0.58
302.0,0.488,0.457,0.239,0.579
302.5,0.487,0.457,0.239,0.577
303.0,0.487,0.457,0.238,0.575
303.5,0.487,0.458,0.238,0.574
304.0,0.488,0.458,0.237,0.574
304.5,0.488,0.457,0.237,0.574
305.0,0.488,0.457,0.237,0.574
305.5,0.487,0.455,0.237,0.573
306.0,0.486,0.454,0.237,0.572
306.5,0.485,0.455,0.238,0.572
307.0,0.485,0.458,0.238,0.572
307.5,0.484,0.458,0.238,0.572
308.0,0.484,0.457,0.238,0.573
308.5,0.484,0.456,0.237,0.573
309.0,0.483,0.456,0.237,0.573
309.5,0.483,0.457,0.238,0.573
310.0,0.483,0.457,0.238,0.573
310.5,0.482,0.458,0.238,0.574
311.0,0.481,0.458,0.239,0.575
311.5,0.48,0.459,0.239,0.576
312.0,0.48,0.46,0.24,0.578
312.5,0.48,0.463,0.239,0.579
313.0,0.481,0.464,0.239,0.58
313.5,0.482,0.463,0.239,0.582
314.0,0.482,0.464,0.24,0.583
314.5,0.481,0.466,0.242,0.585
315.0,0.481,0.467,0.243,0.586
315.5,0.48,0.469,0.243,0.587
316.0,0.481,0.47,0.242,0.587
316.5,0.482,0.469,0.24,0.588
