nm,TMiMG20,TMiMG50,TMiMG,TMiMG05
685.0,93.192,93.008,89.666,95.642
686.0,93.373,93.255,89.863,95.655
687.0,93.508,93.185,90.149,95.809
688.0,93.444,92.984,90.089,95.709
689.0,93.313,92.879,89.882,95.439
690.0,93.407,92.94,90.012,95.79
691.0,93.448,92.997,90.21,96.225
692.0,93.44,93.061,90.144,95.996
693.0,93.617,93.266,90.123,95.689
694.0,93.547,93.141,90.239,95.593
695.0,93.09,92.814,90.309,95.484
696.0,93.012,92.997,90.244,95.526
697.0,93.552,93.288,90.047,95.497
698.0,93.76,93.319,90.074,95.428
699.0,93.427,93.406,90.303,95.92
700.0,93.325,93.463,90.309,96.359
701.0,93.415,93.324,90.127,96.169
702.0,93.399,93.198,90.046,95.951
703.0,93.288,93.335,90.15,95.743
704.0,93.031,93.543,90.225,95.517
705.0,92.996,93.329,90.15,95.587
706.0,93.354,92.883,89.989,95.776
707.0,93.659,92.799,89.893,95.914
708.0,93.852,93.061,89.945,95.866
709.0,93.894,93.336,89.98,95.758
710.0,93.414,93.271,90.033,95.814
711.0,92.872,92.831,90.219,95.81
712.0,93.015,92.506,90.454,95.734
713.0,93.5,92.518,90.598,95.497
714.0,93.631,92.833,90.55,95.241
715.0,93.508,93.17,90.474,95.547
716.0,93.615,93.065,90.486,95.974
717.0,93.823,92.779,90.442,95.799
718.0,93.631,92.754,90.286,95.545
719.0,93.263,92.763,90.123,95.771
720.0,93.418,92.689,90.029,95.853
721.0,93.92,92.887,89.978,95.524
722.0,94.009,93.225,89.933,95.507
723.0,93.657,93.254,89.894,95.82
724.0,93.349,92.998,90.084,95.995
725.0,93.358,92.686,90.666,96.095
726.0,93.605,92.804,90.993,95.973
727.0,93.698,93.488,90.689,95.571
728.0,93.496,93.736,90.424,95.464
729.0,93.199,93.29,90.457,95.693
730.0,93.12,93.163,90.514,95.603
731.0,93.446,93.312,90.449,95.254
732.0,93.66,93.172,90.378,95.271
733.0,93.615,93.14,90.426,95.425
734.0,93.706,93.333,90.217,95.503
735.0,93.724,93.191,89.86,95.871
736.0,93.581,92.726,90.029,95.911
737.0,93.56,92.697,90.516,95.246
738.0,93.641,93.278,90.772,95.1
739.0,93.61,93.54,90.737,95.744
740.0,93.58,93.235,90.37,96.012
741.0,93.714,93.239,90.031,95.657
742.0,93.711,93.418,90.16,95.348
743.0,93.412,93.245,90.421,95.502
744.0,93.283,93.112,90.495,95.869
745.0,93.522,93.109,90.302,95.944
746.0,93.67,93.204,89.921,95.791
747.0,,,,
748.0,,,,
749.0,,,,
750.0,,,,
