nm,A_7_5g,A_15g,A_18g,A_22_5g
400.0,0.131,0.112,0.131,0.17
400.5,0.132,0.112,0.127,0.171
401.0,0.126,0.121,0.122,0.165
401.5,0.116,0.13,0.118,0.159
402.0,0.109,0.133,0.117,0.157
402.5,0.107,0.13,0.118,0.159
403.0,0.108,0.124,0.119,0.16
403.5,0.11,0.118,0.116,0.159
404.0,0.109,0.115,0.11,0.155
404.5,0.108,0.115,0.104,0.15
405.0,0.109,0.117,0.1,0.146
405.5,0.113,0.119,0.1,0.145
406.0,0.119,0.121,0.101,0.145
