Illy,Mucilago,Cafeina,Ox,Mi,Ch,Go,Verde,hv
1.875851209249685,2.096348207476079,8.148361408564368,3.2850798186790207,4.268758686828812,4.677358170163686,4.639016876551286,4.686435190830475,5.276581932159268
1.910850322181645,2.1354166237996326,8.194711023691308,3.3174620391323306,4.272005933044315,4.706443678026212,4.647373248476252,4.7290910259645536,5.254223534141644
1.9246029777172484,2.1518094552388733,8.159041674028515,3.342380591943023,4.326294130130108,4.7344995328511095,4.660431379655143,4.716635037357052,5.232053814588305
1.9284930315821662,2.181258142168616,8.08635456633064,3.3637224545245816,4.349499355143941,4.738931045348009,4.661130280403486,4.784776412989838,5.210070395199279
1.9510220470588964,2.199788634488966,8.120181611543163,3.3503397454480877,4.352573657875941,4.789273211730708,4.707704771387741,4.804796972051989,5.188270937478779
1.9357901867116205,2.1629482315192807,7.956071574201156,3.3680157030855686,4.306564959399243,4.705383639382558,4.630931622312952,4.73636799820946,5.16665314190595
1.9338646407202447,2.150767934280949,7.947474294429116,3.3299948361838396,4.278562494962098,4.729996899672023,4.643894787607415,4.7464850097198035,5.145214747126258
1.8790363183545566,2.117657949131247,7.786621973721216,3.2778336090740128,4.250575768660259,4.613273003684383,4.5676950628511,4.677380857092617,5.123953529162926
1.8141656911775015,2.05603465519915,7.569109822442328,3.2259418888674927,4.155006916901424,4.5488758846902515,4.44168174518599,4.597983246922288,5.102867300647853
1.7739319689345137,1.9784625344945739,7.373835578072964,3.154228193407849,4.041577717742607,4.49886133616013,4.414462780482784,4.5081885610483585,5.081953910071427
1.6928109047920912,1.9217382687905415,7.209037030870391,3.0742990610019922,3.9897227738049916,4.370380872084437,4.315174302988737,4.438869041531156,5.061211241050727
1.6383431087623312,1.8308926687707048,6.950759882324298,2.97167583702625,3.8833422328037153,4.293969053541528,4.23000294278599,4.347669546965627,5.040637211615563
1.556812659297215,1.7335253634842007,6.73477299780953,2.8344717556190595,3.754532617697906,4.184122233164416,4.086738484192825,4.173178812364744,5.020229773511854
1.463337017497468,1.6490120197189275,6.504014875269661,2.7403597709111,3.6211014312621463,4.102411834065912,4.006952723298942,4.0842229605360165,4.999986911521888
1.3819798348313699,1.5377192482290807,6.246975812996831,2.652219412186959,3.4976574382755614,3.919857052640584,3.9237157612198104,3.9537252343359093,4.979906642800916
1.2955116495164472,1.4521066163146483,5.985132537576299,2.508437151446583,3.3990378133266193,3.8274735934342785,3.778847479903412,3.8207674484881626,4.959987016229712
1.216123627706033,1.3674909312346144,5.679483105710231,2.365441267750694,3.2658426804550276,3.6850755614590787,3.6497154420065803,3.670139519374891,4.940226111782582
1.1120161603006296,1.2566160720357609,5.377513614852248,2.2518359205070486,3.0964634635617845,3.5446723935192295,3.495801206362124,3.5320003458401787,4.920622039910429
1.0716990564911497,1.1796294064092576,5.153689710582825,2.1683348398198157,2.9771090485387233,3.447399342718528,3.406602842800777,3.4633596231882087,4.9011729409384515
0.9948264019743253,1.0779046311001257,4.925993442441134,2.0567641309661235,2.879060162212678,3.3250944352034306,3.3171555664817918,3.301393009138585,4.881876984478064
0.9341032766199089,1.0096893924119514,4.651111129116919,1.9592687321057116,2.7771450703679355,3.2105578868046765,3.196136689241472,3.200982661003837,4.86273236885266
0.8714323243107681,0.9561675773639603,4.543833769889974,1.884784722868826,2.676657203694595,3.136702422974024,3.114427775138772,3.0981818159538377,4.843737320536829
0.8246307575175429,0.9051087638980645,4.3107826835146374,1.8022939707984829,2.5924002130061807,3.0385325038018776,3.0244671348690826,2.9755819501704726,4.824890093608669
0.7816790699566059,0.852749887795453,4.142648866112266,1.729574514704825,2.521868985005019,2.9543633257526096,2.916082911623513,2.8954698443626543,4.806188969214838
0.7473360835800661,0.8116895325189188,4.005265365741294,1.6927225630772462,2.44800875419926,2.8915218859229,2.87922474412882,2.8436238180130564,4.787632255047985
0.7087056127921808,0.7632724650734495,3.8443371858068836,1.6306162149420065,2.397832030236833,2.7952370403252544,2.8162266904490107,2.71824733584523,4.769218284836262
0.6821823449475528,0.7326003407170959,3.703260965180185,1.5505576163038772,2.298770908848827,2.7299443285317038,2.7145776663116883,2.646588971819658,4.750945417844552
0.6548664590559206,0.7215499471510095,3.609632871700309,1.5330124979032742,2.2891023638382872,2.6904369041481857,2.69671251014448,2.6105740029953965,4.732812038387131
0.6520797405625884,0.6849859301243125,3.521341639355241,1.505140744221283,2.229924713070244,2.64289031210522,2.644911831328796,2.5577605834340136,4.714816555351438
0.6434163876517376,0.6641558302396918,3.427812837830346,1.4800663488413661,2.177375188202873,2.5803351963448717,2.609798091593285,2.504584174640405,4.696957401732682
0.6279120813665396,0.6483252068228755,3.349491859495551,1.4488603954488426,2.157739516398995,2.5621126541751966,2.57256819600778,2.492304164816852,4.679233034178973
0.6181945801084917,0.6342949253975185,3.3106981920918956,1.437112508483187,2.129157048005942,2.5279498898771213,2.5643691479166373,2.4440110349358752,4.661641932546722
0.6098722461475589,0.638383197523624,3.293330378191828,1.4073091199854302,2.1386122657709508,2.529680982008898,2.507718201030023,2.4455646182003643,4.644182599466023
0.5968697525288055,0.6175958184880403,3.2095568715016825,1.4061420247103542,2.0715615584492,2.4735961733114222,2.495421463887876,2.4050434034114416,4.6268535599157765
0.5949427038476149,0.6088824310354682,3.158216293003422,1.3863821723257617,2.0656744723888494,2.4324015570885176,2.465848823171361,2.3602808668804824,4.609653360808283
0.5885306228207894,0.6061036560925418,3.1252512493567037,1.3660672053303138,2.0424887926153805,2.4300393129729074,2.4463923801775764,2.3509081704953205,4.592580570583068
0.5842787518645822,0.5897239369133338,3.0983362829213466,1.375382889607894,2.022817410928685,2.4207632811541715,2.4397987706855173,2.32940142882023,4.5756337788096975
0.5789703427457983,0.5842455020760892,3.059120176067008,1.3437902650344562,1.9763918884922866,2.373802073362088,2.3976023972974834,2.294257895552386,4.5588115957993685
0.5722786247205899,0.5771573911697174,3.0049527462926773,1.313175335339034,1.9706508071896522,2.3365756801132904,2.35826271352212,2.2840471457508733,4.542112652225011
