"nm"	"Ch"	"Go"	"Illy"	"Mi"	"Ox"	"Ve"
313.5	0.612	0.535	0.669	0.482	0.876	0.491
314	0.613	0.535	0.67	0.482	0.878	0.492
314.5	0.614	0.535	0.67	0.481	0.881	0.496
315	0.614	0.535	0.671	0.481	0.883	0.498
315.5	0.614	0.534	0.671	0.48	0.885	0.496
316	0.614	0.534	0.672	0.481	0.887	0.494
316.5	0.615	0.533	0.671	0.482	0.888	0.496
317	0.617	0.534	0.672	0.484	0.889	0.498
317.5	0.618	0.534	0.672	0.484	0.891	0.497
318	0.619	0.534	0.672	0.485	0.892	0.495
318.5	0.619	0.533	0.672	0.485	0.893	0.496
319	0.618	0.532	0.671	0.486	0.894	0.5
319.5	0.617	0.529	0.671	0.487	0.894	0.503
320	0.617	0.528	0.67	0.488	0.895	0.504
320.5	0.617	0.527	0.67	0.488	0.894	0.502
321	0.616	0.526	0.67	0.488	0.894	0.501
321.5	0.614	0.526	0.671	0.49	0.894	0.502
322	0.612	0.526	0.671	0.493	0.894	0.505
322.5	0.611	0.524	0.671	0.495	0.894	0.506
323	0.609	0.522	0.67	0.496	0.892	0.505
323.5	0.608	0.52	0.668	0.496	0.89	0.503
324	0.607	0.517	0.667	0.496	0.887	0.505
324.5	0.605	0.515	0.665	0.496	0.884	0.504
325	0.604	0.513	0.664	0.498	0.881	0.501
325.5	0.602	0.511	0.664	0.499	0.878	0.502
326	0.6	0.509	0.663	0.499	0.874	0.502
326.5	0.597	0.507	0.662	0.499	0.871	0.5
327	0.593	0.504	0.661	0.5	0.867	0.497
327.5	0.591	0.501	0.659	0.5	0.864	0.496
328	0.589	0.498	0.656	0.5	0.86	0.497
328.5	0.587	0.494	0.654	0.501	0.856	0.497
329	0.583	0.49	0.652	0.502	0.852	0.494
329.5	0.578	0.485	0.65	0.503	0.846	0.494
330	0.572	0.481	0.648	0.504	0.838	0.493
330.5	0.5659999999999999	0.477	0.645	0.505	0.83	0.488
331	0.5610000000000001	0.473	0.641	0.506	0.821	0.485
331.5	0.556	0.469	0.638	0.507	0.8129999999999999	0.486
332	0.551	0.465	0.635	0.508	0.805	0.483
332.5	0.547	0.461	0.632	0.508	0.798	0.479
333	0.542	0.456	0.628	0.508	0.791	0.478
333.5	0.537	0.451	0.625	0.509	0.783	0.478
334	0.531	0.445	0.622	0.51	0.774	0.476
334.5	0.524	0.441	0.618	0.511	0.764	0.471
335	0.518	0.435	0.614	0.512	0.753	0.469
335.5	0.513	0.43	0.61	0.512	0.742	0.469
336	0.507	0.423	0.607	0.512	0.732	0.469
336.5	0.501	0.417	0.604	0.512	0.723	0.464
337	0.495	0.412	0.601	0.512	0.713	0.455
337.5	0.489	0.407	0.596	0.511	0.704	0.449
338	0.482	0.402	0.591	0.511	0.694	0.449
338.5	0.476	0.397	0.586	0.51	0.6840000000000001	0.447
339	0.468	0.392	0.58	0.51	0.673	0.44
339.5	0.461	0.388	0.574	0.509	0.662	0.443
340	0.453	0.384	0.5679999999999999	0.507	0.65	0.46
340.5	0.444	0.377	0.5629999999999999	0.506	0.638	0.463
341	0.434	0.367	0.5580000000000001	0.51	0.626	0.445
341.5	0.424	0.354	0.555	0.516	0.612	0.426
342	0.419	0.343	0.553	0.521	0.597	0.425
342.5	0.418	0.337	0.551	0.52	0.583	0.443
343	0.418	0.334	0.548	0.517	0.57	0.453
343.5	0.412	0.334	0.542	0.513	0.556	0.437
344	0.399	0.333	0.536	0.51	0.541	0.427
