Illy,Mucilago,Cafeina,Ox,Mi,Ch,Go,Verde,hv
4.451541353067143e-35,4.145343635130632e-35,2.9571918099087577e-34,1.0608039776840176e-34,1.5500846378235715e-34,1.816933187732969e-34,1.848571719897741e-34,1.7578834183229773e-34,6.51303213114754e-19
4.4265922633955896e-35,4.1342719538001947e-35,3.159070605722952e-34,1.0537244737551191e-34,1.5521457660339965e-34,1.7952767627484666e-34,1.8311002523541337e-34,1.7445197934344023e-34,6.4917477124183e-19
4.43872243601664e-35,4.018749973012362e-35,3.3801089468044735e-34,1.0631454710422233e-34,1.5316032130261956e-34,1.8013931694341845e-34,1.8303014518528107e-34,1.7344428193841997e-34,6.470601954397394e-19
4.3245003860991923e-35,3.970084804049004e-35,3.671774446934722e-34,1.0420281996293257e-34,1.5331240358733193e-34,1.7892036198107904e-34,1.8076627436676783e-34,1.7305397902190542e-34,6.449593506493506e-19
4.355474203442981e-35,4.001202573066494e-35,4.0078722190045815e-34,1.0367116348086318e-34,1.5457402131808066e-34,1.7780600760086067e-34,1.8326635234823434e-34,1.7527188109371266e-34,6.428721035598705e-19
4.2269746189651584e-35,3.854538434445568e-35,4.406884345208829e-34,1.0195753052415816e-34,1.51042037963366e-34,1.7508580758477456e-34,1.790645101250149e-34,1.7081800952728127e-34,6.407983225806452e-19
4.1911881478649743e-35,3.8994514267001505e-35,4.8950444658117165e-34,1.019336222429534e-34,1.508794715254773e-34,1.751441806438254e-34,1.7700589812796145e-34,1.6715403197722173e-34,6.387378778135048e-19
4.1866564703460095e-35,3.8590954058606806e-35,5.445279787445362e-34,1.024295294511472e-34,1.4962695058269008e-34,1.763766953068857e-34,1.7789227200842157e-34,1.685630953288642e-34,6.366906410256409e-19
4.054964153344641e-35,3.7747415036334863e-35,5.9110605803146496e-34,1.0064492151191948e-34,1.4780404515457337e-34,1.7199780939340766e-34,1.7516177410592817e-34,1.663333323754153e-34,6.346564856230032e-19
4.0494561479323333e-35,3.7029711273261937e-35,6.495305946441283e-34,9.944283135505285e-35,1.4876228355549633e-34,1.717008335045145e-34,1.7588878458010612e-34,1.6483331688143124e-34,6.326352866242037e-19
4.131607533474394e-35,3.793484110351474e-35,7.085010956225347e-34,9.959816575267137e-35,1.5010122341667466e-34,1.7074099872253786e-34,1.7646565994833677e-34,1.655622252450488e-34,6.306269206349206e-19
4.0039308094209857e-35,3.670914241002803e-35,7.516719639313549e-34,9.938666370035056e-35,1.4766693155740947e-34,1.6854054886202334e-34,1.7408967255329805e-34,1.6463092151316247e-34,6.286312658227847e-19
3.9502748055766827e-35,3.708159135532052e-35,8.033355941507635e-34,9.738033352490014e-35,1.453437169346447e-34,1.6707948331305376e-34,1.714948601002596e-34,1.6134120121908652e-34,6.266482018927444e-19
3.93494806234341e-35,3.5375613462488866e-35,8.365415044164504e-34,9.56101888932238e-35,1.466030278821505e-34,1.6700519234613522e-34,1.7086496206116376e-34,1.6213413988327092e-34,6.24677610062893e-19
3.8745344839193687e-35,3.497750066170957e-35,8.55110404604665e-34,9.564362479356172e-35,1.4388885804454348e-34,1.6478278494920163e-34,1.7079099894483398e-34,1.610167714470421e-34,6.227193730407523e-19
3.824335457330401e-35,3.470582662426049e-35,8.748644575190423e-34,9.414360598871913e-35,1.4318680256909014e-34,1.6357319310070472e-34,1.7114371169472853e-34,1.5997085601640308e-34,6.20773375e-19
3.8219782805006914e-35,3.396405633863728e-35,8.870858203309552e-34,9.468781868665227e-35,1.4275285180935135e-34,1.6111664555283753e-34,1.7045879701842942e-34,1.5807067977144527e-34,6.1883950155763225e-19
3.8136083450292676e-35,3.4121537536319014e-35,8.927824344783972e-34,9.388669689543122e-35,1.4215453886875604e-34,1.6044774290893233e-34,1.6750622043343526e-34,1.5786351002201033e-34,6.169176397515528e-19
3.749285252234294e-35,3.2692619323671457e-35,9.008939975377265e-34,9.240475476280614e-35,1.4032372738535154e-34,1.5819428834295704e-34,1.6713134462868551e-34,1.5518990567166588e-34,6.150076780185757e-19
3.7063613645540805e-35,3.2723151214962443e-35,8.944026745855106e-34,9.104983837479449e-35,1.417996941013825e-34,1.5931665659266975e-34,1.678941648897505e-34,1.5462310486983367e-34,6.131095061728394e-19
3.706576390244068e-35,3.251419523742586e-35,8.86289937721929e-34,9.131968808290618e-35,1.387204628941523e-34,1.5484326620573243e-34,1.6494524200641343e-34,1.5342002906435882e-34,6.112230153846153e-19
3.63064000620606e-35,3.1989956819285376e-35,8.846718654528536e-34,9.050136291894448e-35,1.3858502213938232e-34,1.5427658260511184e-34,1.654177960132059e-34,1.507989209955118e-34,6.093480981595091e-19
3.650397076009094e-35,3.1825664274873467e-35,8.863489653495036e-34,9.03675427144528e-35,1.3716801326583372e-34,1.5463071784738971e-34,1.6502080444274282e-34,1.5107118368145224e-34,6.074846483180428e-19
