nm,TOxMM20,TOxMM05,TOxMM50,TOxMM
700.0,89.983,94.419,93.9,92.852
701.0,90.211,94.131,93.978,93.049
702.0,90.179,94.039,94.17,93.051
703.0,90.03,94.132,94.08,92.978
704.0,90.001,94.217,93.709,93.258
705.0,89.961,94.314,93.674,93.295
706.0,89.895,94.317,93.922,92.833
707.0,90.036,94.298,94.105,92.645
708.0,90.445,94.439,94.187,92.887
709.0,90.659,94.428,94.143,92.995
710.0,90.408,94.122,94.081,92.844
711.0,90.164,93.791,94.015,92.698
712.0,90.038,93.723,94.104,92.704
713.0,90.013,93.879,94.318,93.001
714.0,90.268,93.931,94.201,93.447
715.0,90.309,94.096,93.93,93.556
716.0,90.119,94.364,93.914,93.334
717.0,90.24,94.295,94.155,93.177
718.0,90.366,94.283,94.38,93.29
719.0,90.274,94.505,94.367,93.521
720.0,90.492,94.645,94.383,93.447
721.0,90.822,94.757,94.519,93.068
722.0,90.485,94.825,94.486,92.904
723.0,89.963,94.822,94.269,93.138
724.0,90.059,94.561,94.184,93.445
725.0,90.469,94.029,94.506,93.414
726.0,90.634,94.065,94.773,93.124
727.0,90.45,94.757,94.651,93.205
728.0,90.368,95.067,94.706,93.539
729.0,90.652,94.806,94.857,93.526
730.0,90.87,94.6,94.586,93.299
731.0,90.74,94.612,94.359,93.101
732.0,90.541,94.554,94.61,93.1
733.0,90.601,94.411,94.825,93.227
734.0,90.698,94.419,94.567,93.081
735.0,90.515,94.51,94.151,92.924
736.0,90.389,94.468,94.067,93.019
737.0,90.536,94.281,94.447,93.034
738.0,90.663,94.248,94.87,92.973
739.0,90.769,94.424,94.501,93.085
740.0,90.943,94.398,93.68,93.37
741.0,90.821,94.051,93.735,93.402
742.0,90.325,93.777,94.411,93.019
743.0,90.11,94.029,94.78,92.935
744.0,90.423,94.521,94.932,93.382
745.0,90.773,94.871,94.921,93.785
746.0,91.035,95.023,94.665,93.822
747.0,,,,
748.0,,,,
749.0,,,,
750.0,,,,
