nm,15,Mh
386.5,0.394,0.36
387.0,0.388,0.348
387.5,0.386,0.346
388.0,0.388,0.352
388.5,0.388,0.358
389.0,0.383,0.36
389.5,0.371,0.359
390.0,0.359,0.358
390.5,0.349,0.357
391.0,0.345,0.355
391.5,0.345,0.349
392.0,0.345,0.341
392.5,0.344,0.334
393.0,0.342,0.329
393.5,0.34,0.326
394.0,0.339,0.323
394.5,0.338,0.316
395.0,0.333,0.306
395.5,0.325,0.298
396.0,0.317,0.295
396.5,0.309,0.295
397.0,0.301,0.294
397.5,0.297,0.289
398.0,0.296,0.282
398.5,0.299,0.273
399.0,0.3,0.263
399.5,0.297,0.253
400.0,0.286,0.246
400.5,0.273,0.244
401.0,0.263,0.243
401.5,0.258,0.24
402.0,0.253,0.237
402.5,0.245,0.235
403.0,0.235,0.235
403.5,0.229,0.233
404.0,0.228,0.23
404.5,0.227,0.223
405.0,0.223,0.214
405.5,0.218,0.205
406.0,0.213,0.199
406.5,0.0,0
407.0,0.0,0
407.5,0.0,0
408.0,0.0,0
408.5,0.0,0
409.0,0.0,0
409.5,0.0,0
410.0,0.0,0
