nm,AChMN,AChMN05,AChMN20,AChMN50
317.5,0.618,0.29,0.397,0.541
318.0,0.619,0.29,0.398,0.541
318.5,0.619,0.289,0.398,0.541
319.0,0.618,0.288,0.398,0.541
319.5,0.617,0.286,0.398,0.541
320.0,0.617,0.286,0.397,0.54
320.5,0.617,0.287,0.397,0.54
321.0,0.616,0.287,0.397,0.54
321.5,0.614,0.286,0.397,0.54
322.0,0.612,0.286,0.396,0.54
322.5,0.611,0.286,0.395,0.539
323.0,0.609,0.286,0.395,0.539
323.5,0.608,0.286,0.394,0.538
324.0,0.607,0.286,0.393,0.537
324.5,0.605,0.285,0.392,0.537
325.0,0.604,0.283,0.39,0.537
325.5,0.602,0.282,0.389,0.538
326.0,0.6,0.28,0.387,0.538
326.5,0.597,0.279,0.386,0.538
327.0,0.593,0.278,0.384,0.538
327.5,0.591,0.278,0.382,0.537
328.0,0.589,0.277,0.38,0.538
328.5,0.587,0.275,0.378,0.538
329.0,0.583,0.273,0.376,0.537
329.5,0.578,0.27,0.374,0.537
330.0,0.572,0.268,0.372,0.535
330.5,0.566,0.267,0.37,0.535
331.0,0.561,0.265,0.367,0.534
331.5,0.556,0.263,0.364,0.533
332.0,0.551,0.262,0.361,0.532
332.5,0.547,0.261,0.358,0.532
333.0,0.542,0.26,0.355,0.532
333.5,0.537,0.258,0.352,0.533
334.0,0.531,0.256,0.348,0.534
334.5,0.524,0.253,0.344,0.535
335.0,0.518,0.251,0.34,0.535
335.5,0.513,0.249,0.336,0.534
336.0,0.507,0.246,0.333,0.532
336.5,0.501,0.242,0.329,0.53
337.0,0.495,0.239,0.326,0.53
337.5,0.489,0.237,0.323,0.53
338.0,0.482,0.235,0.32,0.53
338.5,0.476,0.232,0.317,0.53
339.0,0.468,0.23,0.313,0.53
339.5,0.461,0.227,0.307,0.528
340.0,0.453,0.226,0.3,0.526
340.5,0.444,0.226,0.291,0.523
341.0,0.434,0.225,0.282,0.524
341.5,0.424,0.221,0.277,0.526
342.0,0.419,0.215,0.275,0.527
342.5,0.418,0.211,0.276,0.525
343.0,0.418,0.209,0.276,0.521
343.5,0.412,0.205,0.272,0.518
344.0,0.399,0.198,0.266,0.517
344.5,0.382,0.188,0.26,0.516
345.0,0.368,0.18,0.256,0.516
345.5,0.361,0.175,0.253,0.515
346.0,0.362,0.174,0.249,0.513
346.5,0.364,0.177,0.246,0.511
347.0,0.362,0.18,0.243,0.509
347.5,0.355,0.18,0.24,0.511
348.0,0.347,0.173,0.237,0.513
348.5,0.34,0.162,0.232,0.515
349.0,0.335,0.153,0.225,0.514
349.5,0.327,0.152,0.218,0.515
350.0,0.318,0.155,0.213,0.517
350.5,0.31,0.156,0.211,0.52
351.0,0.303,0.155,0.21,0.521
351.5,0.296,0.153,0.208,0.518
352.0,0.29,0.152,0.204,0.514
352.5,0.286,0.153,0.199,0.51
353.0,0.283,0.155,0.196,0.507
353.5,0.28,0.154,0.193,0.506
354.0,0.273,0.151,0.187,0.508
354.5,0.264,0.145,0.178,0.511
355.0,0.254,0.14,0.171,0.512
355.5,0.246,0.139,0.167,0.511
356.0,0.241,0.139,0.167,0.51
356.5,0.239,0.14,0.17,0.51
357.0,0.238,0.139,0.174,0.51
357.5,0.236,0.136,0.176,0.51
358.0,0.231,0.134,0.176,0.509
358.5,0.223,0.133,0.173,0.507
359.0,0.216,0.13,0.165,0.507
359.5,0.21,0.123,0.154,0.509
360.0,0.207,0.115,0.144,0.513
360.5,0.204,0.108,0.139,0.514
361.0,0.202,0.105,0.14,0.511
361.5,0.201,0.105,0.145,0.506
362.0,0.203,0.108,0.15,0.502
362.5,0.202,0.112,0.153,0.503
363.0,0.197,0.115,0.153,0.508
363.5,0.188,0.118,0.152,0.512
364.0,0.18,0.118,0.148,0.514
364.5,0.177,0.115,0.143,0.513
365.0,0.177,0.111,0.137,0.511
365.5,0.179,0.107,0.135,0.51
366.0,0.178,0.102,0.135,0.508
366.5,0.175,0.098,0.138,0.505
367.0,0.172,0.094,0.141,0.503
367.5,0.171,0.089,0.142,0.503
368.0,0.17,0.085,0.139,0.504
368.5,0.165,0.084,0.131,0.506
369.0,0.158,0.089,0.118,0.507
369.5,0.153,0.097,0.105,0.505
370.0,0.153,0.103,0.099,0.5
370.5,0.155,0.105,0.105,0.491
371.0,0.155,0.102,0.12,0.484
371.5,0.151,0.098,0.135,0.483
372.0,0.145,0.096,0.137,0.486
372.5,0.142,0.096,0.122,0.486
373.0,0.145,0.096,0.102,0.48
373.5,0.151,0.092,0.093,0.472
374.0,0.155,0.082,0.097,0.467
374.5,0.154,0.074,0.106,0.468
375.0,0.148,0.071,0.11,0.472
375.5,0.142,0.074,0.111,0.475
376.0,0.14,0.077,0.114,0.478
376.5,0.145,0.076,0.118,0.477
377.0,0.153,0.074,0.12,0.473
377.5,0.155,0.069,0.12,0.464
378.0,0.146,0.064,0.12,0.456
378.5,0.135,0.06,0.117,0.45
379.0,0.127,0.063,0.11,0.449
379.5,0.127,0.069,0.1,0.449
380.0,0.128,0.075,0.093,0.446
380.5,0.126,0.076,0.093,0.441
381.0,0.121,0.077,0.098,0.438
381.5,0.116,0.08,0.104,0.437
382.0,0.113,0.083,0.106,0.436
382.5,0.114,0.084,0.101,0.433
383.0,0.117,0.078,0.093,0.429
383.5,0.117,0.065,0.086,0.426
384.0,0.115,0.052,0.085,0.422
384.5,0.109,0.046,0.087,0.42
385.0,0.103,0.049,0.088,0.418
385.5,0.098,0.058,0.086,0.412
386.0,0.097,0.068,0.083,0.402
386.5,0.102,0.072,0.079,0.392
387.0,0.111,0.07,0.074,0.387
