nm,AChMG20,AChMG05,AChMG,AChMG50
327.0,0.352,0.227,0.407,0.622
327.5,0.35,0.227,0.405,0.618
328.0,0.349,0.226,0.403,0.614
328.5,0.347,0.224,0.401,0.611
329.0,0.345,0.223,0.399,0.607
329.5,0.343,0.222,0.398,0.603
330.0,0.341,0.221,0.395,0.599
330.5,0.339,0.22,0.391,0.594
331.0,0.338,0.219,0.386,0.59
331.5,0.336,0.218,0.381,0.586
332.0,0.334,0.217,0.377,0.582
332.5,0.331,0.215,0.375,0.577
333.0,0.328,0.213,0.372,0.572
333.5,0.326,0.211,0.37,0.566
334.0,0.323,0.208,0.366,0.561
334.5,0.32,0.206,0.363,0.555
335.0,0.316,0.204,0.36,0.549
335.5,0.312,0.203,0.356,0.543
336.0,0.309,0.201,0.352,0.537
336.5,0.306,0.199,0.347,0.531
337.0,0.302,0.197,0.343,0.525
337.5,0.3,0.194,0.339,0.519
338.0,0.296,0.191,0.333,0.513
338.5,0.294,0.187,0.328,0.506
339.0,0.292,0.182,0.322,0.498
339.5,0.292,0.177,0.316,0.488
340.0,0.292,0.174,0.309,0.476
340.5,0.292,0.176,0.304,0.463
341.0,0.288,0.177,0.3,0.454
341.5,0.28,0.173,0.298,0.448
342.0,0.271,0.163,0.296,0.442
342.5,0.264,0.153,0.293,0.434
343.0,0.261,0.147,0.287,0.425
343.5,0.26,0.146,0.282,0.417
344.0,0.258,0.147,0.275,0.413
344.5,0.253,0.148,0.268,0.41
345.0,0.248,0.148,0.26,0.409
345.5,0.246,0.149,0.252,0.407
346.0,0.246,0.15,0.245,0.403
346.5,0.245,0.153,0.24,0.398
347.0,0.242,0.154,0.238,0.391
347.5,0.236,0.15,0.238,0.384
348.0,0.228,0.144,0.239,0.376
348.5,0.219,0.141,0.238,0.368
349.0,0.213,0.144,0.233,0.358
349.5,0.209,0.148,0.225,0.347
350.0,0.208,0.147,0.217,0.338
350.5,0.206,0.142,0.209,0.332
351.0,0.202,0.134,0.203,0.329
351.5,0.198,0.129,0.199,0.323
352.0,0.196,0.125,0.197,0.316
352.5,0.198,0.123,0.195,0.308
353.0,0.2,0.122,0.194,0.302
353.5,0.2,0.12,0.192,0.297
354.0,0.196,0.119,0.189,0.293
354.5,0.188,0.116,0.183,0.288
355.0,0.18,0.112,0.173,0.285
355.5,0.172,0.108,0.16,0.282
356.0,0.165,0.106,0.15,0.279
356.5,0.161,0.107,0.145,0.272
357.0,0.161,0.108,0.146,0.267
357.5,0.162,0.109,0.148,0.263
358.0,0.16,0.106,0.151,0.261
358.5,0.157,0.101,0.151,0.258
359.0,0.153,0.096,0.148,0.253
359.5,0.151,0.095,0.144,0.25
360.0,0.15,0.098,0.142,0.249
360.5,0.15,0.099,0.141,0.245
361.0,0.149,0.097,0.137,0.236
361.5,0.144,0.092,0.132,0.224
362.0,0.138,0.088,0.128,0.212
362.5,0.131,0.088,0.125,0.203
363.0,0.128,0.09,0.125,0.199
363.5,0.131,0.091,0.123,0.2
364.0,0.14,0.089,0.12,0.204
364.5,0.146,0.085,0.119,0.207
365.0,0.147,0.081,0.121,0.206
365.5,0.141,0.08,0.125,0.201
366.0,0.133,0.081,0.129,0.196
366.5,0.127,0.083,0.129,0.192
367.0,0.124,0.084,0.123,0.19
367.5,0.125,0.083,0.114,0.189
368.0,0.128,0.084,0.106,0.189
368.5,0.13,0.087,0.101,0.188
369.0,0.129,0.093,0.1,0.184
369.5,0.123,0.097,0.101,0.179
370.0,0.118,0.096,0.105,0.175
370.5,0.116,0.09,0.107,0.173
371.0,0.116,0.086,0.102,0.171
371.5,0.116,0.087,0.093,0.167
372.0,0.117,0.093,0.085,0.163
372.5,0.118,0.096,0.084,0.162
373.0,0.119,0.091,0.091,0.163
373.5,0.117,0.081,0.1,0.164
374.0,0.113,0.075,0.107,0.161
