nm,A_7_5g,A_15g,A_18g,A_22_5g
351.5,0.188,0.409,0.384,0.315
352.0,0.183,0.399,0.374,0.307
352.5,0.182,0.394,0.369,0.303
353.0,0.182,0.389,0.366,0.301
353.5,0.181,0.383,0.363,0.299
354.0,0.177,0.374,0.357,0.293
354.5,0.167,0.364,0.348,0.283
355.0,0.154,0.353,0.336,0.272
355.5,0.144,0.343,0.324,0.263
356.0,0.139,0.336,0.315,0.256
356.5,0.141,0.334,0.311,0.252
357.0,0.143,0.333,0.311,0.251
357.5,0.143,0.331,0.311,0.25
358.0,0.141,0.323,0.306,0.247
358.5,0.136,0.31,0.296,0.239
359.0,0.13,0.295,0.281,0.227
359.5,0.124,0.285,0.267,0.215
360.0,0.12,0.28,0.258,0.208
360.5,0.117,0.277,0.254,0.207
361.0,0.115,0.272,0.251,0.207
361.5,0.113,0.266,0.248,0.205
362.0,0.11,0.261,0.245,0.2
362.5,0.108,0.258,0.241,0.193
363.0,0.106,0.256,0.237,0.189
363.5,0.104,0.253,0.234,0.186
364.0,0.104,0.25,0.231,0.185
364.5,0.103,0.247,0.229,0.184
365.0,0.101,0.243,0.227,0.181
365.5,0.099,0.237,0.223,0.175
366.0,0.097,0.232,0.219,0.168
366.5,0.098,0.229,0.215,0.163
367.0,0.1,0.227,0.213,0.163
367.5,0.1,0.223,0.212,0.164
368.0,0.096,0.217,0.21,0.163
368.5,0.092,0.211,0.206,0.159
369.0,0.09,0.209,0.203,0.156
369.5,0.09,0.208,0.2,0.154
370.0,0.09,0.207,0.196,0.152
370.5,0.088,0.204,0.189,0.148
371.0,0.086,0.196,0.183,0.143
371.5,0.084,0.183,0.178,0.135
372.0,0.08,0.174,0.178,0.13
372.5,0.075,0.175,0.18,0.13
373.0,0.073,0.184,0.185,0.137
373.5,0.071,0.193,0.185,0.142
374.0,0.069,0.192,0.178,0.139
374.5,0.065,0.182,0.168,0.131
375.0,0.062,0.169,0.163,0.128
375.5,0.064,0.158,0.166,0.133
376.0,0.072,0.153,0.172,0.139
376.5,0.082,0.155,0.171,0.14
377.0,0.087,0.163,0.165,0.137
377.5,0.082,0.175,0.158,0.134
378.0,0.071,0.181,0.154,0.132
378.5,0.068,0.179,0.157,0.13
379.0,0.086,0.174,0.167,0.127
379.5,0.112,0.172,0.178,0.125
380.0,0.121,0.172,0.179,0.124
380.5,0.105,0.17,0.169,0.124
381.0,0.079,0.167,0.157,0.123
381.5,0.068,0.169,0.155,0.123
382.0,0.073,0.175,0.161,0.122
382.5,0.08,0.18,0.167,0.122
383.0,0.079,0.179,0.167,0.122
383.5,0.069,0.172,0.162,0.122
384.0,0.057,0.162,0.155,0.118
384.5,0.046,0.15,0.147,0.106
385.0,0.04,0.143,0.14,0.091
385.5,0.044,0.141,0.136,0.085
386.0,0.055,0.144,0.136,0.094
386.5,0.068,0.148,0.137,0.111
387.0,0.075,0.149,0.137,0.121
387.5,0.075,0.149,0.136,0.118
388.0,0.073,0.148,0.137,0.107
388.5,0.073,0.146,0.142,0.097
389.0,0.071,0.14,0.146,0.095
389.5,0.067,0.131,0.146,0.1
390.0,0.061,0.125,0.142,0.105
390.5,0.058,0.125,0.138,0.102
391.0,0.057,0.132,0.136,0.091
391.5,0.054,0.142,0.134,0.08
392.0,0.051,0.15,0.135,0.077
392.5,0.051,0.154,0.139,0.082
393.0,0.054,0.153,0.143,0.089
393.5,0.055,0.145,0.141,0.092
394.0,0.052,0.137,0.134,0.09
394.5,0.04,0.131,0.124,0.086
395.0,0.017,0.129,0.118,0.083
395.5,-0.016,0.127,0.117,0.084
396.0,-0.048,0.124,0.117,0.087
396.5,-0.055,0.118,0.118,0.089
397.0,-0.033,0.11,0.118,0.089
397.5,-0.001,0.104,0.118,0.087
398.0,0.019,0.101,0.117,0.084
398.5,0.021,0.105,0.116,0.083
399.0,0.018,0.109,0.114,0.083
399.5,0.019,0.112,0.112,0.081
400.0,0.024,0.113,0.113,0.079
400.5,0.032,0.118,0.119,0.079
401.0,0.039,0.128,0.127,0.081
401.5,0.035,0.135,0.132,0.082
402.0,0.02,0.135,0.13,0.08
402.5,0.005,0.129,0.122,0.076
403.0,0.0,0.121,0.112,0.071
403.5,0.001,0.115,0.102,0.067
404.0,0.001,0.111,0.093,0.064
404.5,0.0,0.106,0.088,0.063
405.0,0.002,0.102,0.086,0.063
405.5,0.001,0.098,0.089,0.064
406.0,-0.007,0.097,0.094,0.066
