nm,TChMG20,TChMG05,TChMG50,TChMG
600.0,87.494,98.125,93.201,90.114
601.0,87.582,97.849,93.309,90.175
602.0,87.614,97.334,93.352,90.468
603.0,87.513,97.107,93.365,90.807
604.0,87.63,97.548,93.418,90.739
605.0,87.869,97.992,93.432,90.351
606.0,87.964,97.719,93.485,90.328
607.0,88.059,97.519,93.699,90.555
608.0,88.208,97.961,93.899,90.644
609.0,88.162,98.342,93.984,90.758
610.0,88.055,98.195,94.023,90.849
611.0,88.231,97.886,93.744,90.779
612.0,88.311,97.756,93.255,90.934
613.0,88.079,97.802,93.213,91.314
614.0,87.925,98.031,93.619,91.256
615.0,87.995,98.075,94.02,91.025
616.0,88.177,97.645,94.178,91.202
617.0,88.261,97.352,94.143,91.278
618.0,88.216,97.564,94.206,91.023
619.0,88.203,97.784,94.199,90.926
620.0,88.258,97.817,93.831,91.024
621.0,88.355,97.887,93.706,91.12
622.0,88.351,98.011,94.013,91.281
623.0,88.304,98.013,94.001,91.422
624.0,88.405,97.909,93.782,91.253
625.0,88.453,97.942,93.975,91.0
626.0,88.503,97.924,94.112,91.203
627.0,88.68,97.826,93.771,91.558
628.0,88.639,98.036,93.687,91.552
629.0,88.512,98.189,93.999,91.505
630.0,88.641,97.924,94.102,91.522
631.0,88.728,97.917,94.16,91.41
632.0,88.516,98.298,94.329,91.343
633.0,88.329,98.293,94.355,91.29
634.0,88.46,97.997,94.383,91.268
635.0,88.632,97.918,94.482,91.481
636.0,88.644,97.932,94.487,91.683
637.0,88.848,97.81,94.422,91.65
638.0,89.179,97.714,94.208,91.53
639.0,89.053,97.916,94.173,91.476
640.0,88.599,98.258,94.59,91.354
641.0,88.53,98.486,94.769,91.154
642.0,88.803,98.549,94.599,91.395
643.0,88.84,98.438,94.356,91.905
644.0,88.694,98.241,93.806,91.952
645.0,88.654,98.149,93.533,91.678
646.0,88.813,98.336,94.018,91.616
647.0,89.059,98.584,94.542,91.826
648.0,89.093,98.444,94.615,91.824
649.0,88.986,98.168,94.422,91.552
650.0,88.826,98.259,94.404,91.497
651.0,88.681,98.25,94.747,91.528
652.0,88.83,97.944,95.035,91.659
653.0,89.09,97.992,95.071,92.035
654.0,89.134,98.276,94.931,92.161
655.0,89.114,98.375,94.65,91.941
656.0,89.166,98.382,94.643,91.744
657.0,89.049,98.396,94.924,91.755
658.0,88.825,98.405,94.987,91.835
659.0,88.958,98.254,95.08,91.726
