nm,A_7_5g,A_15g,A_18g,A_22_5g
392.5,0.145,0.211,0.23,0.345
393.0,0.134,0.198,0.22,0.328
393.5,0.123,0.186,0.209,0.314
394.0,0.115,0.179,0.201,0.309
394.5,0.114,0.178,0.2,0.314
395.0,0.116,0.182,0.204,0.323
395.5,0.119,0.189,0.21,0.328
396.0,0.122,0.195,0.217,0.329
396.5,0.125,0.198,0.22,0.327
397.0,0.125,0.199,0.218,0.324
397.5,0.12,0.195,0.211,0.316
398.0,0.111,0.187,0.199,0.303
398.5,0.104,0.179,0.187,0.291
399.0,0.103,0.174,0.182,0.287
399.5,0.107,0.176,0.186,0.291
400.0,0.113,0.181,0.193,0.296
400.5,0.113,0.18,0.194,0.295
401.0,0.105,0.17,0.185,0.289
401.5,0.094,0.154,0.172,0.282
402.0,0.088,0.142,0.163,0.279
402.5,0.091,0.139,0.164,0.282
403.0,0.103,0.144,0.17,0.29
403.5,0.113,0.152,0.177,0.298
404.0,0.114,0.156,0.178,0.298
404.5,0.106,0.154,0.172,0.29
405.0,0.093,0.148,0.163,0.276
405.5,0.08,0.14,0.153,0.262
406.0,0.075,0.135,0.144,0.252
